"epoch_mjd","a","e","i","om","w","ma"
60400,5.211,0.1484,10.32,316.54,133.88,27.43
60400,5.207,0.1398,22.06,44.35,308.50,352.52
60400,5.273,0.0236,18.15,342.80,179.56,321.47
60400,5.17,0.1161,4.52,350.75,344.06,131.97
60400,5.206,0.1251,8.90,301.48,337.26,79.93
60400,5.284,0.0676,21.76,338.02,82.00,53.95
60400,5.232,0.0912,3.14,221.23,238.33,3.21
60400,5.233,0.1066,16.65,247.26,51.86,59.46
60400,5.276,0.1386,6.93,283.91,41.51,2.01
60400,5.253,0.0929,33.54,48.55,296.08,9.64
60400,5.285,0.1132,18.03,332.88,61.86,63.66
60400,5.221,0.0463,20.46,315.79,129.79,58.05
60400,5.147,0.0539,28.49,221.37,188.32,82.28
60400,5.206,0.0231,5.65,240.31,295.07,287.77
60400,5.14,0.1090,6.10,340.84,114.15,14.78
60400,5.135,0.0457,26.90,283.70,1.16,71.95
60400,5.313,0.1094,16.75,197.79,171.35,93.39
60400,5.179,0.0659,3.97,43.83,326.13,83.13
60400,5.241,0.0335,6.58,176.30,132.18,34.53
60400,5.224,0.0340,8.61,145.76,167.18,3.24
60400,5.322,0.0494,14.64,188.77,116.24,44.02
60400,5.225,0.0910,21.89,197.90,357.67,141.64
60400,5.192,0.1022,39.28,131.33,274.82,60.37
60400,5.221,0.0584,9.15,176.56,233.35,64.04
60400,5.171,0.0128,6.80,159.03,300.77,262.96
60400,5.258,0.0186,15.94,220.79,57.47,81.88
60400,5.175,0.0658,16.63,267.99,292.49,137.55
60400,5.201,0.0450,17.77,86.58,322.73,63.84
60400,5.227,0.0468,2.67,179.17,77.68,98.70
60400,5.236,0.0383,32.09,211.66,58.47,98.04
60400,5.133,0.0755,13.91,327.37,96.15,51.87
60400,5.06,0.0857,5.54,356.70,280.93,71.21
60400,5.199,0.0688,1.86,179.69,42.58,132.34
60400,5.197,0.0657,21.94,171.22,7.55,302.46
60400,5.111,0.0892,22.38,69.94,48.54,2.54
60400,5.141,0.0768,14.67,108.78,173.26,58.57
60400,5.243,0.0496,27.21,133.96,275.01,303.53
60400,5.115,0.0281,21.11,230.95,199.29,47.42
60400,5.222,0.0599,12.16,287.89,203.98,351.86
60400,5.221,0.1279,2.34,296.29,16.37,25.09
60400,5.229,0.1286,27.85,135.90,151.08,66.40
60400,5.294,0.0836,14.88,341.07,104.72,17.13
60400,5.186,0.0758,24.61,179.55,133.31,60.35
60400,5.281,0.1179,23.28,26.43,116.24,333.91
60400,5.21,0.0912,8.05,43.54,27.93,60.26
60400,5.198,0.0395,15.51,23.76,201.70,236.54
60400,5.185,0.0753,23.52,356.69,67.05,64.23
60400,5.209,0.1595,13.37,291.17,58.02,358.66
60400,5.221,0.0614,19.64,187.07,249.18,22.02
60400,5.224,0.0909,20.90,200.52,262.75,17.16
60400,5.211,0.1469,6.06,343.19,36.64,95.37
60400,5.321,0.0232,28.50,209.47,208.78,43.81
60400,5.188,0.0578,11.00,6.75,77.93,37.72
60400,5.278,0.0571,12.13,233.71,199.67,30.18
60400,5.238,0.1194,2.87,24.26,60.91,16.24
60400,5.225,0.1558,16.16,168.16,308.81,346.61
60400,5.192,0.1200,18.93,113.52,318.98,47.87
60400,5.134,0.0752,17.57,177.64,318.03,327.73
60400,5.276,0.1227,21.68,54.96,357.34,73.61
60400,5.175,0.0442,2.10,207.99,167.20,105.23
60400,5.233,0.0984,7.96,220.11,160.21,323.17
60400,5.183,0.0607,22.26,86.42,10.77,353.98
60400,5.226,0.0546,8.29,244.26,180.90,62.74
60400,5.144,0.0979,14.70,325.39,85.64,86.40
60400,5.196,0.1226,7.09,310.16,66.45,340.43
60400,5.241,0.0612,6.99,281.17,104.12,304.13
60400,5.269,0.0235,25.42,253.06,79.94,31.16
60400,5.114,0.0510,18.66,1.60,344.97,9.19
60400,5.2,0.1125,8.82,64.98,315.64,324.34
60400,5.277,0.0112,12.31,154.95,180.77,26.92
60400,5.155,0.0463,25.98,261.47,164.26,278.84
60400,5.249,0.0923,9.34,61.92,284.22,354.14
60400,5.196,0.0918,12.02,278.39,90.71,327.65
60400,5.133,0.0443,7.70,241.99,167.86,309.04
60400,5.162,0.0415,14.91,352.97,128.69,221.48
60400,5.192,0.0520,8.59,221.77,120.35,27.06
60400,5.262,0.1417,19.07,135.14,210.00,4.44
60400,5.23,0.0922,34.73,101.74,281.69,74.57
60400,5.201,0.1368,28.48,75.97,353.14,31.59
60400,5.192,0.2524,19.57,125.43,355.61,359.33
60400,5.218,0.1096,19.39,82.06,34.17,8.24
60400,5.175,0.0188,27.15,335.18,284.34,98.67
60400,5.202,0.0438,9.08,170.28,272.52,25.43
60400,5.319,0.0490,21.86,59.04,204.86,197.98
60400,5.265,0.0857,4.99,34.77,335.61,94.16
60400,5.161,0.0518,11.79,308.32,88.21,65.34
60400,5.191,0.0758,11.03,347.76,75.04,43.21
60400,5.298,0.0661,31.45,78.22,346.17,36.26
60400,5.26,0.1312,21.48,44.01,12.38,51.55
60400,5.203,0.0366,10.58,29.88,103.51,358.77
60400,5.2,0.1103,15.95,316.99,17.21,17.58
60400,5.263,0.1117,25.01,295.90,24.53,16.81
60400,5.22,0.1031,8.53,78.18,33.39,353.79
